epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,8278.9,0.6722,0.60205,1.14318,0.90931,0.87337,0.92985,0.71241,0.81096,0.60044,1.27095,0.000344389,0.000344389,0.000344389
117,8350.88,0.67079,0.601,1.14585,0.92331,0.86846,0.93025,0.71261,0.81083,0.59501,1.2708,0.000334958,0.000334958,0.000334958
118,8424.52,0.67441,0.6029,1.14998,0.90697,0.8804,0.92834,0.7128,0.81089,0.5955,1.27547,0.000325526,0.000325526,0.000325526
119,8497.74,0.66781,0.59769,1.14341,0.9135,0.87436,0.93138,0.7119,0.80822,0.59828,1.27467,0.000316095,0.000316095,0.000316095
120,8571.71,0.66087,0.59801,1.14063,0.9129,0.86775,0.92865,0.71305,0.80929,0.60285,1.27382,0.000306663,0.000306663,0.000306663
121,8644.21,0.66004,0.59325,1.14027,0.92167,0.85692,0.92839,0.71134,0.80238,0.59969,1.26361,0.000297232,0.000297232,0.000297232
122,8717.63,0.65816,0.58428,1.13595,0.90817,0.87365,0.92739,0.71159,0.80394,0.59532,1.26395,0.000287801,0.000287801,0.000287801
123,8788.98,0.66211,0.59707,1.13596,0.90609,0.87612,0.92832,0.71164,0.79892,0.5989,1.26075,0.000278369,0.000278369,0.000278369
124,8859.99,0.65638,0.58772,1.13363,0.90986,0.87803,0.9281,0.71377,0.79612,0.59463,1.2572,0.000268938,0.000268938,0.000268938
125,8932.04,0.64944,0.58369,1.12566,0.90354,0.88057,0.92822,0.71615,0.79924,0.59681,1.25943,0.000259506,0.000259506,0.000259506
126,9003.59,0.65908,0.59213,1.13117,0.91112,0.87401,0.92811,0.71798,0.79408,0.59476,1.25743,0.000250075,0.000250075,0.000250075
127,9074.69,0.65219,0.57121,1.12917,0.91371,0.87771,0.92654,0.71684,0.79092,0.59262,1.25823,0.000240644,0.000240644,0.000240644
128,9146.25,0.64962,0.57142,1.12937,0.9029,0.88065,0.92763,0.71649,0.79769,0.59306,1.2639,0.000231212,0.000231212,0.000231212
129,9217.02,0.66106,0.58808,1.13787,0.92044,0.86476,0.92618,0.71623,0.79883,0.59077,1.26614,0.000221781,0.000221781,0.000221781
130,9288.25,0.64387,0.57028,1.12825,0.91766,0.86986,0.9279,0.71817,0.79811,0.59269,1.26547,0.000212349,0.000212349,0.000212349
131,9359.11,0.64938,0.58217,1.12641,0.91125,0.87505,0.92574,0.71582,0.79967,0.59945,1.26665,0.000202918,0.000202918,0.000202918
132,9428.85,0.64546,0.56849,1.12853,0.91222,0.87372,0.92646,0.71633,0.79732,0.59303,1.26665,0.000193487,0.000193487,0.000193487
133,9499.27,0.64271,0.57215,1.12252,0.90405,0.87817,0.92807,0.71716,0.79545,0.59283,1.26141,0.000184055,0.000184055,0.000184055
134,9571.27,0.63936,0.56747,1.12176,0.90251,0.88385,0.92924,0.71643,0.79973,0.59067,1.26557,0.000174624,0.000174624,0.000174624
135,9641.89,0.63363,0.56018,1.11904,0.9138,0.87296,0.92613,0.71623,0.80009,0.59205,1.26611,0.000165192,0.000165192,0.000165192
136,9712.93,0.6296,0.55505,1.12093,0.9104,0.87582,0.92729,0.71615,0.8026,0.59182,1.26683,0.000155761,0.000155761,0.000155761
137,9784.28,0.631,0.55403,1.12222,0.91675,0.87452,0.92895,0.71549,0.8041,0.59318,1.26599,0.00014633,0.00014633,0.00014633
138,9856.11,0.63668,0.56518,1.11999,0.91511,0.88006,0.92831,0.7167,0.80624,0.59497,1.26971,0.000136898,0.000136898,0.000136898
139,9927.26,0.6361,0.55913,1.12203,0.92666,0.86436,0.92897,0.71557,0.80255,0.59274,1.2666,0.000127467,0.000127467,0.000127467
140,9999.36,0.63728,0.56104,1.12017,0.91804,0.87367,0.92858,0.71565,0.80263,0.59311,1.26647,0.000118035,0.000118035,0.000118035
141,10069,0.55303,0.42492,1.08338,0.91643,0.87354,0.92757,0.71609,0.79823,0.58402,1.26598,0.000108604,0.000108604,0.000108604
142,10136.6,0.54788,0.4036,1.07591,0.91789,0.87254,0.92837,0.71449,0.79742,0.58175,1.26804,9.92E-05,9.92E-05,9.92E-05
143,10204.1,0.54621,0.39965,1.07692,0.91104,0.87826,0.92868,0.71604,0.79643,0.5794,1.26869,8.97E-05,8.97E-05,8.97E-05
144,10271.5,0.53319,0.3925,1.06815,0.9123,0.87673,0.92924,0.7169,0.79549,0.5779,1.26985,8.03E-05,8.03E-05,8.03E-05
145,10339.1,0.53497,0.38999,1.06686,0.91775,0.87482,0.93033,0.71724,0.79338,0.57657,1.2671,7.09E-05,7.09E-05,7.09E-05
146,10407.3,0.53378,0.38679,1.06482,0.92099,0.87463,0.92991,0.71666,0.79143,0.57959,1.26547,6.14E-05,6.14E-05,6.14E-05
147,10475.2,0.52061,0.37923,1.05671,0.9248,0.87235,0.92977,0.71785,0.79006,0.57751,1.26479,5.20E-05,5.20E-05,5.20E-05
148,10543.8,0.52575,0.37657,1.05629,0.9147,0.87667,0.93053,0.71924,0.78829,0.57662,1.26467,4.26E-05,4.26E-05,4.26E-05
149,10613.1,0.52716,0.37894,1.06129,0.91022,0.87797,0.92881,0.71921,0.78767,0.57689,1.2646,3.32E-05,3.32E-05,3.32E-05
150,10683.7,0.51745,0.37648,1.05515,91.2%,87.91%,0.92938,0.71928,0.78719,0.576,1.26395,2.37E-05,2.37E-05,2.37E-05
